job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list
数据分析,互联网,上海市,45.0,Power BI;贷后;信贷,3-5年,本科,其他,power bi;贷后;信贷,"['power bi', '贷后', '信贷']"
数据分析师,文化艺术/娱乐,上海市,10.8,,1-3年,本科,,,['']
区块链数据分析师,计算机服务,上海市,29.25,链上追踪;地址分析,1-3年,大专,其他,链上追踪;地址分析,"['链上追踪', '地址分析']"
数据分析师 (MJ001141),酒店/民宿,上海市,15.0,,5-10年,本科,,,['']
贷后数据分析师,互联网金融,上海市,30.0,SQL;Python;信贷;贷后分析,经验不限,本科,其他;数据库;后端开发,sql;python;信贷;贷后分析,"['sql', 'python', '信贷', '贷后分析']"
数据分析师（金融）,互联网,上海市,33.0,,3-5年,本科,,,['']
数据分析师,广告/公关/会展,上海市,15.0,灵犀;红书;品牌诊断,1-3年,本科,其他,灵犀;红书;品牌诊断,"['灵犀', '红书', '品牌诊断']"
数据分析师,客运服务,上海市,13.0,SAS;MATLAB,1-3年,本科,前端开发;其他,sas;matlab,"['sas', 'matlab']"
数据分析师（外企）,计算机软件,上海市,33.0,英语流利沟通;需求分析;汽车行业,5-10年,本科,其他;项目管理/敏捷,英语流利沟通;需求分析;汽车行业,"['英语流利沟通', '需求分析', '汽车行业']"
数据分析,互联网,上海市,104.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,电子商务,上海市,16.2,SQL;英美留学生;欧洲留学生,1-3年,本科,其他;数据库,sql;英美留学生;欧洲留学生,"['sql', '英美留学生', '欧洲留学生']"
高级数据分析师,互联网,上海市,19.2,数据银行;达摩盘;策略中心;Tableau;生意参谋,1-3年,本科,其他;大数据,数据银行;达摩盘;策略中心;tableau;生意参谋,"['数据银行', '达摩盘', '策略中心', 'tableau', '生意参谋']"
数据分析师,互联网,上海市,40.0,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,游戏,上海市,26.0,数据分析;游戏;数据挖掘;SQL,3-5年,本科,大数据;游戏开发;数据库,数据分析;游戏;数据挖掘;sql,"['数据分析', '游戏', '数据挖掘', 'sql']"
信贷数据分析师,互联网,上海市,35.0,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,文化艺术/娱乐,上海市,16.8,,3-5年,本科,,,['']
数据分析师（金融）,互联网,上海市,39.75,,3-5年,本科,,,['']
数据分析师（京东/天猫isv）,电子商务,上海市,15.6,数据银行;策略中心;京东商智;生意参谋,1-3年,本科,其他,数据银行;策略中心;京东商智;生意参谋,"['数据银行', '策略中心', '京东商智', '生意参谋']"
数据分析,互联网,上海市,33.0,Python,5-10年,本科,后端开发,python,['python']
数据分析师（金融）,互联网,上海市,33.0,数据分析;互联网金融;消费分期;信用支付,3-5年,本科,其他;大数据,数据分析;互联网金融;消费分期;信用支付,"['数据分析', '互联网金融', '消费分期', '信用支付']"
高级数据分析师,互联网,上海市,24.0,Tableau;Power BI,5-10年,本科,大数据;其他,tableau;power bi,"['tableau', 'power bi']"
保险数据分析师,互联网,上海市,33.0,Power BI;SQL,3-5年,本科,其他;数据库,power bi;sql,"['power bi', 'sql']"
数据分析师,计算机服务,上海市,15.0,数据洞察;数据处理;SQL;Python,3-5年,本科,其他;数据库;后端开发,数据洞察;数据处理;sql;python,"['数据洞察', '数据处理', 'sql', 'python']"
数据分析师,互联网,上海市,24.6,,1-3年,大专,,,['']
数据分析师,计算机软件,上海市,10.2,SQL;Tableau,1-3年,本科,数据库;大数据,sql;tableau,"['sql', 'tableau']"
数据分析师,互联网,上海市,36.0,数据分析;SQL;Hive,1-3年,本科,数据库;大数据,数据分析;sql;hive,"['数据分析', 'sql', 'hive']"
数据分析,银行,上海市,45.0,Python;BI搭建;互联网信贷;贷后管理,3-5年,本科,其他;后端开发,python;bi搭建;互联网信贷;贷后管理,"['python', 'bi搭建', '互联网信贷', '贷后管理']"
数据分析师,电子商务,上海市,32.5,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,医疗健康,上海市,15.0,,3-5年,本科,,,['']
数据分析师,电子商务,上海市,12.6,Tableau;app运营;汽车行业,3-5年,本科,其他;大数据,tableau;app运营;汽车行业,"['tableau', 'app运营', '汽车行业']"
数据分析师,互联网,上海市,16.25,Python;SQL,1-3年,本科,后端开发;数据库,python;sql,"['python', 'sql']"
数据分析师,互联网,上海市,42.0,数据分析;数仓,5-10年,本科,大数据;其他,数据分析;数仓,"['数据分析', '数仓']"
数据分析师,证券/期货,上海市,42.25,Python;SAS,经验不限,本科,后端开发;前端开发,python;sas,"['python', 'sas']"
高级数据分析师,大数据,上海市,15.0,Python;回归分析;多元统计分析,1-3年,本科,其他;后端开发,python;回归分析;多元统计分析,"['python', '回归分析', '多元统计分析']"
数据分析师,计算机软件,上海市,25.2,Hive;SQL;Python,3-5年,本科,数据库;后端开发,hive;sql;python,"['hive', 'sql', 'python']"
数据分析,食品/饮料/烟酒,上海市,38.5,,5-10年,本科,,,['']
资深数据分析师,游戏,上海市,54.0,SPSS;SAS;SQL;回归分析,5-10年,本科,其他;前端开发;数据库,spss;sas;sql;回归分析,"['spss', 'sas', 'sql', '回归分析']"
电商经济数据分析师,电子商务,上海市,15.0,Power BI;美妆;SQL;Python,3-5年,本科,其他;数据库;后端开发,power bi;美妆;sql;python,"['power bi', '美妆', 'sql', 'python']"
高级数据分析师,互联网,上海市,44.0,,5-10年,本科,,,['']
数据分析师,计算机软件,上海市,18.0,数字营销;运动品牌;Power BI;Tableau;KPI数据分析,3-5年,本科,其他;大数据,数字营销;运动品牌;power bi;tableau;kpi数据分析,"['数字营销', '运动品牌', 'power bi', 'tableau', 'kpi数据分析']"
数据分析师,互联网,上海市,27.0,SQL;Python,经验不限,本科,数据库;后端开发,sql;python,"['sql', 'python']"
高级数据分析师,互联网,上海市,76.0,,5-10年,本科,,,['']
数据分析师,互联网金融,上海市,39.0,Python;SQL;风险数据治理,1-3年,本科,后端开发;数据库;其他,python;sql;风险数据治理,"['python', 'sql', '风险数据治理']"
数据分析师,信息安全,上海市,17.5,SQL;Tableau;Power BI,1-3年,本科,数据库;大数据;其他,sql;tableau;power bi,"['sql', 'tableau', 'power bi']"
数据分析师,物联网,上海市,10.8,,1-3年,本科,,,['']
国际业务数据分析师,医疗健康,上海市,16.8,,3-5年,本科,,,['']
数据分析商分经理,企业服务,上海市,19.8,四大审计背景;财务分析;Power BI;即时配送;Python;经营分析,5-10年,本科,其他;后端开发,四大审计背景;财务分析;power bi;即时配送;python;经营分析,"['四大审计背景', '财务分析', 'power bi', '即时配送', 'python', '经营分析']"
数据分析师【社交平台游戏】,游戏,上海市,36.0,社交平台;mmoarpg,5-10年,本科,其他,社交平台;mmoarpg,"['社交平台', 'mmoarpg']"
数据分析师,互联网,上海市,42.0,BI,5-10年,本科,大数据,bi,['bi']
