job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list,skill_single
软件测试工程师,互联网,宁波市,9.0,自动化测试;测试 软件,1-3年,本科,测试,自动化测试;测试 软件,自动化测试,自动化测试
软件测试工程师,互联网,宁波市,9.0,自动化测试;测试 软件,1-3年,本科,测试,自动化测试;测试 软件,测试 软件,测试 软件
测试工程师,家具/家电/家居,宁波市,16.2,性能测试;功能测试,3-5年,大专,测试,性能测试;功能测试,性能测试,性能测试
测试工程师,家具/家电/家居,宁波市,16.2,性能测试;功能测试,3-5年,大专,测试,性能测试;功能测试,功能测试,功能测试
adas测试工程师,互联网,杭州市,14.4,canoe;功能测试,3-5年,本科,其他;测试,canoe;功能测试,canoe,canoe
adas测试工程师,互联网,杭州市,14.4,canoe;功能测试,3-5年,本科,其他;测试,canoe;功能测试,功能测试,功能测试
测试工程师,其他行业,宁波市,11.4,安规测试;家电测试,3-5年,大专,测试,安规测试;家电测试,安规测试,安规测试
测试工程师,其他行业,宁波市,11.4,安规测试;家电测试,3-5年,大专,测试,安规测试;家电测试,家电测试,家电测试
测试工程师 (MES 管理),通信/网络设备,宁波市,9.6,性能测试;功能测试;自动化测试,1-3年,本科,测试,性能测试;功能测试;自动化测试,性能测试,性能测试
测试工程师 (MES 管理),通信/网络设备,宁波市,9.6,性能测试;功能测试;自动化测试,1-3年,本科,测试,性能测试;功能测试;自动化测试,功能测试,功能测试
测试工程师 (MES 管理),通信/网络设备,宁波市,9.6,性能测试;功能测试;自动化测试,1-3年,本科,测试,性能测试;功能测试;自动化测试,自动化测试,自动化测试
实验测试员/工程师,进出口贸易,杭州市,8.4,功能测试;性能测试;工作环境好;弹性工作制,1-3年,本科,测试;其他,功能测试;性能测试;工作环境好;弹性工作制,功能测试,功能测试
实验测试员/工程师,进出口贸易,杭州市,8.4,功能测试;性能测试;工作环境好;弹性工作制,1-3年,本科,测试;其他,功能测试;性能测试;工作环境好;弹性工作制,性能测试,性能测试
实验测试员/工程师,进出口贸易,杭州市,8.4,功能测试;性能测试;工作环境好;弹性工作制,1-3年,本科,测试;其他,功能测试;性能测试;工作环境好;弹性工作制,工作环境好,工作环境好
实验测试员/工程师,进出口贸易,杭州市,8.4,功能测试;性能测试;工作环境好;弹性工作制,1-3年,本科,测试;其他,功能测试;性能测试;工作环境好;弹性工作制,弹性工作制,弹性工作制
标定测试工程师,汽车研发/制造,杭州市,15.0,动力域,1-3年,大专,其他,动力域,动力域,动力域
测试工程师（宁波）,光伏,宁波市,15.0,DVT;PVT;ATE,1-3年,本科,其他;后端开发,dvt;pvt;ate,dvt,dvt
